route_from,route_to,ride_type,ride_max_persons,hour,day_of_week,ride_waiting_time,ride_time_minutes,ride_price
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,12,2,4.0,8.666666666666666,170.33
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,12,2,1.0,7.666666666666667,50.0
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,12,2,3.0,8.666666666666666,122.83
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,12,2,6.0,7.666666666666667,220.8
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,13,2,2.0,8.416666666666666,126.99
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,13,2,3.0,8.416666666666666,32.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,13,2,2.0,8.416666666666666,176.79
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,13,2,1.0,7.416666666666667,50.0
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,13,2,1.0,8.416666666666666,122.83
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,13,2,7.0,8.416666666666666,231.84
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,14,2,5.0,7.683333333333334,126.98
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,14,2,4.0,8.683333333333334,34.5
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,14,2,6.0,7.683333333333334,176.79
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,14,2,1.0,7.7,66.96
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,14,2,6.0,8.683333333333334,122.83
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,14,2,5.0,7.683333333333334,231.84
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,15,2,6.0,8.683333333333334,126.98
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,15,2,3.0,7.7,32.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,15,2,5.0,9.7,176.79
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,15,2,1.0,7.7,66.73
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,15,2,9.0,7.7,122.83
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,15,2,4.0,7.683333333333334,231.84
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,17,2,5.0,7.633333333333334,147.06
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,17,2,7.0,8.633333333333333,44.5
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,17,2,5.0,8.633333333333333,216.0
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,17,2,1.0,7.633333333333334,68.71
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,17,2,4.0,9.633333333333333,143.62
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,17,2,4.0,8.633333333333333,267.71
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,18,2,7.0,7.833333333333333,147.06
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,18,2,4.0,8.833333333333334,44.5
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,18,2,6.0,8.833333333333334,215.37
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,18,2,1.0,7.833333333333333,68.25
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,18,2,8.0,7.833333333333333,143.2
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,18,2,4.0,7.833333333333333,267.71
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,19,2,6.0,8.7,147.06
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,19,2,4.0,8.7,34.5
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,19,2,8.0,8.7,215.93
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,19,2,1.0,8.7,68.65
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,19,2,8.0,8.7,143.57
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,19,2,6.0,8.7,267.71
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,20,2,6.0,8.666666666666666,138.49
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,20,2,3.0,7.666666666666667,32.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,20,2,7.0,7.666666666666667,195.04
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,20,2,2.0,7.683333333333334,67.78
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,20,2,9.0,8.666666666666666,130.84
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,20,2,6.0,7.666666666666667,239.25
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,21,2,5.5,7.383333333333333,136.58
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,21,2,2.5,7.883333333333334,32.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,21,2,6.5,8.383333333333333,192.22
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,21,2,1.5,7.383333333333333,66.17500000000001
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,21,2,5.5,8.383333333333333,130.84
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,21,2,5.0,7.383333333333333,234.78
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,22,2,4.0,7.7,136.58
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,22,2,2.0,7.7,32.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,22,2,5.0,7.7,192.22
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,22,2,1.0,7.7,96.26
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,22,2,4.0,8.7,130.84
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,22,2,5.0,7.7,234.78
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,23,2,3.0,7.7,136.58
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,23,2,3.0,7.7,36.16
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,23,2,4.0,7.7,192.22
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,23,2,2.0,6.7,92.66
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,23,2,6.0,7.7,130.84
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,23,2,5.0,6.683333333333334,234.78
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,7,3,5.0,8.383333333333333,136.38
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,7,3,4.0,8.4,34.5
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,7,3,6.0,8.383333333333333,186.83
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,7,3,1.0,8.4,66.23
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,7,3,7.0,10.383333333333333,131.78
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,7,3,3.0,8.383333333333333,236.57
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,9,3,6.0,9.483333333333333,149.33
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,9,3,6.0,8.483333333333333,44.5
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,9,3,7.0,10.483333333333333,203.8
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,9,3,1.0,7.483333333333333,66.42
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,9,3,6.0,9.483333333333333,140.32
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,9,3,5.0,10.483333333333333,266.54
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,10,3,3.0,9.6,157.03
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,10,3,4.0,8.6,32.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,10,3,5.0,8.6,214.76
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,10,3,1.0,7.6,67.98
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,10,3,5.0,9.6,148.33
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,10,3,5.0,8.6,266.54
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,11,3,2.0,8.616666666666667,157.53
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,11,3,2.0,8.616666666666667,32.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,11,3,3.5,8.616666666666667,215.44
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,11,3,1.0,7.616666666666667,50.0
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,11,3,2.0,9.616666666666667,148.8
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,11,3,5.0,9.116666666666667,266.54
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,12,3,2.0,7.583333333333333,122.89
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,12,3,3.0,8.583333333333334,32.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,12,3,2.0,8.583333333333334,170.33
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,12,3,1.0,7.583333333333333,50.0
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,12,3,2.0,8.583333333333334,122.83
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,12,3,4.0,8.583333333333334,220.8
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,13,3,3.0,10.6,127.02
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,13,3,4.0,9.6,32.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,13,3,3.0,10.6,176.79
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,13,3,1.0,8.6,50.0
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,13,3,3.0,9.6,122.83
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,13,3,5.0,9.6,231.84
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,14,3,6.0,10.6,126.98
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,14,3,4.0,10.6,32.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,14,3,5.0,10.6,176.79
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,14,3,1.0,8.6,65.47
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,14,3,6.0,11.6,122.83
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,14,3,4.0,9.6,231.84
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,15,3,5.0,9.683333333333334,126.98
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,15,3,2.0,9.683333333333334,32.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,15,3,5.0,8.683333333333334,176.79
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,15,3,1.0,8.683333333333334,65.15
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,15,3,5.0,9.683333333333334,122.83
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,15,3,6.0,10.683333333333334,231.84
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,16,3,5.0,9.683333333333334,147.06
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,16,3,4.0,10.683333333333334,32.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,16,3,3.0,11.683333333333334,213.62
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,16,3,2.0,6.7,65.69
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,16,3,7.0,13.683333333333334,142.01
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,16,3,4.0,11.683333333333334,267.71
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,18,3,6.0,9.116666666666667,147.06
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,18,3,4.0,10.116666666666667,42.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,18,3,8.0,9.116666666666667,214.43
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,18,3,2.0,8.116666666666667,66.23
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,18,3,7.0,10.116666666666667,142.56
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,18,3,3.0,9.116666666666667,289.33
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,19,3,8.0,9.683333333333334,147.06
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,19,3,5.0,8.683333333333334,34.5
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,19,3,8.0,9.683333333333334,216.72
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,19,3,1.0,8.683333333333334,67.8
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,19,3,7.0,9.683333333333334,144.1
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,19,3,4.0,8.683333333333334,267.71
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,20,3,7.0,8.7,138.49
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,20,3,3.0,7.7,32.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,20,3,7.0,8.7,193.72
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,20,3,2.0,7.7,65.58
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,20,3,9.0,9.7,129.93
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,20,3,4.0,8.7,222.51
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,21,3,5.0,9.183333333333334,135.6
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,21,3,2.0,8.183333333333334,32.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,21,3,4.0,9.183333333333334,190.9
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,21,3,1.0,7.183333333333334,64.61
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,21,3,7.0,10.183333333333334,129.93
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,21,3,5.0,9.183333333333334,236.85
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,8,4,3.0,8.533333333333333,116.575
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,8,4,2.5,8.033333333333333,24.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,8,4,3.0,8.533333333333333,172.575
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,8,4,2.0,7.533333333333333,66.48
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,8,4,4.0,10.033333333333331,110.1
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,8,4,3.0,8.533333333333333,207.88
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,10,4,2.0,9.0,117.02
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,10,4,2.0,9.0,24.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,10,4,2.0,7.0,173.41
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,10,4,1.0,8.0,68.3
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,10,4,2.0,10.0,110.53
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,10,4,3.0,9.0,207.88
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,11,4,3.0,8.683333333333334,116.87
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,11,4,2.0,7.683333333333334,24.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,11,4,2.0,8.683333333333334,173.12
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,11,4,1.0,7.683333333333334,50.0
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,11,4,1.0,9.683333333333334,110.38
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,11,4,4.0,9.683333333333334,207.88
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,12,4,2.0,9.45,91.21
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,12,4,4.0,9.45,24.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,12,4,3.0,9.45,129.1
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,12,4,1.0,9.45,50.0
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,12,4,1.0,10.45,91.48
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,12,4,3.0,10.45,165.34
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,13,4,3.0,9.666666666666666,94.57
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,13,4,5.0,8.666666666666666,42.75
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,13,4,3.0,9.666666666666666,135.56
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,13,4,1.0,9.666666666666666,50.0
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,13,4,5.0,9.666666666666666,91.48
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,13,4,5.0,8.666666666666666,175.61
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,14,4,3.0,8.683333333333334,94.57
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,14,4,5.0,9.683333333333334,24.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,14,4,4.0,9.683333333333334,135.56
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,14,4,1.0,8.683333333333334,65.58
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,14,4,3.0,9.683333333333334,91.48
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,14,4,3.0,10.683333333333334,175.61
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,15,4,4.0,9.683333333333334,94.85
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,15,4,6.0,8.683333333333334,24.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,15,4,3.0,9.683333333333334,135.56
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,15,4,1.0,7.683333333333334,66.94
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,15,4,6.0,9.683333333333334,91.48
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,15,4,6.0,9.683333333333334,175.61
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,16,4,5.0,9.683333333333334,109.52
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,16,4,3.0,9.683333333333334,25.87
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,16,4,5.0,8.683333333333334,172.38
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,16,4,1.0,7.683333333333334,65.8
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,16,4,9.0,9.683333333333334,105.88
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,16,4,4.0,8.683333333333334,208.98
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,17,4,6.0,9.683333333333334,109.52
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,17,4,5.0,9.683333333333334,25.87
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,17,4,6.0,9.683333333333334,173.25
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,17,4,1.0,8.683333333333334,66.4
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,17,4,8.0,10.683333333333334,106.32
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,17,4,4.0,9.683333333333334,208.98
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,18,4,4.0,9.45,109.52
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,18,4,5.0,10.45,40.87
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,18,4,4.0,9.45,175.84
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,18,4,1.0,9.45,68.18
